ID,User ID,Game Level,Player Score,"Player Score Loss 
(Low Quality)",Player Score Loss (Tardiness),AI Score,"AI Score Loss 
(Low Quality)","AI Score Loss 
(Tardiness)",User Strategy Index,User Strategy Description
1e43b2a2-676e-4840-ae7c-02edb5332414,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,83.06%,14.17%,2.78%,86.39%,11.94%,1.67%,100001,
775bb3f5-e0f6-49bb-af53-64b00263c906,0d448716-1b36-4456-9591-f9246a4e529e,1,96.11%,3.89%,0.00%,93.89%,4.44%,3.61%,100010,
f1ea2d99-9f1d-4538-9124-413d53949eeb,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,83.06%,10.00%,6.11%,90.83%,8.33%,0.83%,100001,
e3074986-2595-4b20-a487-d5bab3ca8c22,f5901766-c557-4207-87cb-974e588b2351,4,78.88%,17.75%,2.25%,58.43%,25.39%,15.51%,100010,
b6b74778-1c28-4943-8128-c51df97a789e,89d4cd07-0935-4a3a-9f09-c4b5446215d3,1,82.78%,17.22%,0.00%,91.39%,8.61%,0.83%,101010,
c341bbf4-13c1-40a5-9e4e-b14d7f242669,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,86.39%,9.17%,3.61%,87.78%,11.39%,0.83%,100010,
a2fa97fb-a191-417f-af25-8ee7a343b48e,c18ac1d7-e00f-42d3-bfad-dcddad312709,1,83.89%,16.11%,0.00%,90.28%,9.72%,3.06%,100010,
1a45940e-406f-4f6c-8fbe-b58bac250924,89d4cd07-0935-4a3a-9f09-c4b5446215d3,1,91.94%,2.78%,5.28%,86.11%,13.06%,1.67%,100010,
61e1f594-bd70-49ff-aab0-44df7fbd1d02,8c14df6e-defa-43a0-814d-6c434d4f2f57,3,85.62%,13.71%,0.67%,82.02%,6.29%,9.44%,100010,
ad4a03e8-e0f2-4b8b-a130-6090e098e261,2dbbac82-70a8-45bb-b6c0-44e33450b731,1,84.17%,12.50%,0.00%,91.67%,7.50%,3.61%,101100,
ce3d839d-67d5-4b4b-b686-4ab0b791ca02,b27fc5ae-f7bc-4e83-aef2-cb5cf067c115,1,89.44%,10.56%,0.00%,93.61%,6.39%,0.00%,100110,
195bb447-66a4-4b8a-a233-813a858ad42e,c18ac1d7-e00f-42d3-bfad-dcddad312709,1,97.50%,2.50%,0.00%,92.50%,7.50%,1.11%,101110,
b7de6fe4-e949-4acb-a6c1-26131a10fb6e,89d4cd07-0935-4a3a-9f09-c4b5446215d3,2,87.50%,7.22%,3.89%,87.50%,10.56%,1.94%,100010,
1ec04c29-0794-43a6-b4c5-98c5f7c3db6a,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,1,87.78%,12.22%,0.00%,95.83%,4.17%,0.00%,101010,
dd74ba0d-911a-42ab-a7f3-9e89a8603549,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,85.28%,10.00%,2.50%,91.11%,8.89%,0.00%,100010,
50464fbb-1ec5-4aee-ab08-d0d62c4dc59e,c18ac1d7-e00f-42d3-bfad-dcddad312709,2,90.28%,8.89%,0.83%,88.06%,9.44%,2.50%,101110,
ecf041b4-6ef6-4c9a-a401-e1a1815e661f,2dbbac82-70a8-45bb-b6c0-44e33450b731,1,89.44%,8.61%,0.00%,93.61%,6.39%,0.00%,101010,
018d2894-b3df-4f69-914d-60bc2ef3bf58,b27fc5ae-f7bc-4e83-aef2-cb5cf067c115,1,95.56%,3.33%,1.11%,93.06%,6.94%,0.00%,101010,
721273b5-6de3-49bc-867e-c3fa26d8ada2,89d4cd07-0935-4a3a-9f09-c4b5446215d3,2,82.50%,12.50%,3.33%,88.89%,8.61%,2.50%,100010,
d73a0cb8-e3ca-42ce-b22c-2b4439c17052,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,88.06%,7.50%,4.44%,88.89%,8.33%,2.78%,100010,
6f296965-a4d3-4634-ae08-823dd49731ad,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,1,87.50%,12.50%,0.00%,93.06%,6.94%,0.83%,100110,
e5dd84a2-2975-4785-8fb4-8a3b828dacc1,c18ac1d7-e00f-42d3-bfad-dcddad312709,3,84.94%,8.54%,4.27%,80.45%,5.39%,11.91%,101110,
beacfdf1-db5e-4502-9c46-118f92520686,6a19ea87-c1ca-406a-8dac-17f3c9f519af,6,53.26%,23.71%,22.92%,59.10%,21.12%,20.90%,100100,
72e791f5-fba1-4c05-83de-04d5f4cec010,2dbbac82-70a8-45bb-b6c0-44e33450b731,1,97.22%,2.78%,0.00%,93.89%,6.11%,0.00%,101110,
5c65a9fe-94ab-4c63-9238-47159dab2040,89d4cd07-0935-4a3a-9f09-c4b5446215d3,2,93.89%,6.11%,0.00%,91.11%,8.89%,0.00%,100010,
794b4786-b229-4508-82a5-cec54b8812df,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,1,91.39%,8.61%,0.00%,95.28%,4.72%,0.00%,100010,
390e41e7-d89c-4098-802f-886f091c8706,2dbbac82-70a8-45bb-b6c0-44e33450b731,2,80.83%,19.17%,0.00%,88.33%,10.83%,0.83%,100100,
42245ed1-6f13-4c1f-9dc3-da7175c77760,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,1,94.17%,5.83%,0.00%,90.28%,8.89%,1.67%,100010,
111747f0-0336-4b16-a957-8cdf2335286a,2dbbac82-70a8-45bb-b6c0-44e33450b731,2,79.72%,19.17%,1.11%,88.89%,9.44%,1.67%,101000,
5ce97b51-8e14-4f83-850d-15c68cbcabe1,89d4cd07-0935-4a3a-9f09-c4b5446215d3,3,81.57%,4.27%,11.69%,79.78%,7.19%,11.01%,100010,
06baaa5c-c3f8-4296-94f8-6f85b51161a1,2dbbac82-70a8-45bb-b6c0-44e33450b731,2,89.17%,10.83%,0.00%,83.06%,14.44%,2.50%,101110,
e725d033-b496-4dca-8c4c-d1b032b66bef,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,86.11%,8.61%,4.17%,90.56%,8.61%,0.83%,100010,
a72d2d2a-5a46-47fc-8280-1da2a49b2904,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,2,60.56%,16.11%,15.00%,91.67%,7.50%,0.83%,100010,
45033d00-6125-40a5-bc1e-bec1fa39ab2b,5577efd6-f2fe-4d71-88ef-c212713e81e5,1,81.67%,13.33%,0.00%,95.28%,4.72%,0.00%,100010,
89b57227-a012-496a-b06e-1b1fd92705c6,c18ac1d7-e00f-42d3-bfad-dcddad312709,4,82.92%,12.58%,2.70%,69.44%,17.53%,9.44%,101110,
4508209d-d920-4611-a36d-0822cbf83b88,2dbbac82-70a8-45bb-b6c0-44e33450b731,1,95.00%,5.00%,0.00%,91.39%,5.28%,4.17%,101110,
460e4193-1c1d-41d5-a8aa-20274124d912,b27fc5ae-f7bc-4e83-aef2-cb5cf067c115,2,93.61%,6.39%,0.00%,89.17%,10.83%,0.00%,100110,
861c3729-1171-40fa-85bc-f41ec7d8ca69,9573f491-045a-4c1f-ac45-2b8760b873dc,3,91.24%,3.60%,3.15%,83.82%,4.72%,8.09%,100010,
ea7c8d3d-6781-4cd4-8578-00d0d5912208,89d4cd07-0935-4a3a-9f09-c4b5446215d3,4,75.28%,11.46%,7.64%,70.34%,17.98%,9.21%,100010,
b0feed14-95ab-4753-8402-e56881b89fad,c18ac1d7-e00f-42d3-bfad-dcddad312709,5,75.17%,14.72%,9.10%,66.97%,7.42%,24.04%,101110,
da375191-8b2a-4ce7-bf05-f841fe395724,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,2,62.50%,15.28%,17.50%,90.56%,9.44%,0.00%,100010,
b240cbbf-c9c2-4095-945d-3814abb6789c,5577efd6-f2fe-4d71-88ef-c212713e81e5,1,82.22%,8.89%,7.78%,89.72%,9.17%,1.11%,100010,
8c32173d-0509-4752-b4ed-0c45c69b605b,b27fc5ae-f7bc-4e83-aef2-cb5cf067c115,2,99.17%,0.83%,0.00%,86.67%,12.50%,0.83%,100110,
2dc42606-0de6-4fe6-a2c3-f21a98a7f683,c785d937-d9a7-42a7-8596-4f41c550d747,2,81.94%,15.28%,1.67%,89.72%,9.44%,0.83%,101000,
83d980da-a086-4fe6-abf5-bbe106227e43,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,82.78%,14.72%,1.67%,88.33%,6.11%,5.56%,100010,
b659cd23-3534-4b81-973c-afa127507def,5eddeedb-9b87-4fac-8db5-9493dd127ef8,5,76.18%,11.01%,12.47%,71.46%,6.97%,20.79%,101111,
865c3489-72d5-4b8c-9e66-4b7ae9e9735f,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,2,86.11%,13.06%,0.00%,86.39%,13.61%,0.00%,100010,
4f0476b9-32df-4408-a997-e45f4aa56acc,f5901766-c557-4207-87cb-974e588b2351,4,76.85%,20.90%,1.57%,68.09%,18.65%,11.01%,100010,
a6cf1654-d279-4685-881b-22bba79546e2,5577efd6-f2fe-4d71-88ef-c212713e81e5,1,89.17%,10.00%,0.00%,88.06%,11.94%,0.83%,100010,
6b068f09-1435-4e1b-b892-c8e840f174f3,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,2,81.39%,15.28%,0.00%,87.22%,10.83%,1.94%,100010,
35088f3b-e376-445f-a3b1-52bcaa22cc64,c18ac1d7-e00f-42d3-bfad-dcddad312709,6,32.70%,16.52%,30.79%,56.40%,21.46%,24.61%,100001,
c2fa9e40-ae1d-4709-83df-12e31663a712,b27fc5ae-f7bc-4e83-aef2-cb5cf067c115,3,87.64%,4.27%,7.42%,79.33%,9.89%,11.01%,110000,I don`t even know anymore this game is extremely badly designed
b851c0b9-1c3c-47cc-a2c4-d3868c3ae55e,89d4cd07-0935-4a3a-9f09-c4b5446215d3,5,57.64%,16.63%,26.97%,60.34%,10.67%,28.88%,101000,
27326d5e-94be-4459-b4eb-68e271212347,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,2,84.44%,14.72%,0.00%,83.33%,14.72%,1.94%,100010,
190e05c0-3b21-46b4-a8be-75508bc5acd0,5577efd6-f2fe-4d71-88ef-c212713e81e5,2,76.67%,22.22%,0.00%,78.89%,17.78%,3.33%,100001,
3ba32d78-018f-446b-9e3a-ba440ed990a1,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,85.28%,14.72%,0.00%,89.72%,9.44%,0.83%,100010,
55436911-4884-4bf9-a375-fcf153c4057a,c18ac1d7-e00f-42d3-bfad-dcddad312709,6,54.94%,23.93%,19.66%,59.33%,15.17%,25.28%,100001,
8357c646-6070-40a4-a2ea-d25f48bf2127,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,3,85.39%,12.81%,0.00%,83.37%,9.21%,5.62%,100010,
ec88fbff-f9e3-42ae-b12f-a48bda2cdfe9,c785d937-d9a7-42a7-8596-4f41c550d747,2,93.61%,3.89%,1.67%,91.94%,8.06%,0.00%,101000,
987aca18-02fb-4258-8cd5-37a32beea335,b27fc5ae-f7bc-4e83-aef2-cb5cf067c115,4,74.16%,12.13%,10.79%,69.44%,17.53%,12.36%,101010,
0b4d71cc-7635-47a0-bae8-412e3537c5b0,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,89.72%,6.67%,2.78%,92.50%,6.67%,1.67%,100010,
9e4622ac-d430-4e69-81fc-79d21bf6fffd,c18ac1d7-e00f-42d3-bfad-dcddad312709,6,63.60%,25.96%,8.99%,52.58%,22.58%,27.19%,101110,
43e98ec3-3ede-4d6e-8cf7-e25062fad3de,5eddeedb-9b87-4fac-8db5-9493dd127ef8,6,55.28%,22.25%,25.06%,52.02%,21.80%,27.30%,100110,
e6cc65a9-965c-4cd3-9e56-290789add75c,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,4,61.57%,18.20%,15.51%,71.46%,15.73%,11.01%,100010,
11764eee-43c0-40a3-9026-66de660dbd64,b27fc5ae-f7bc-4e83-aef2-cb5cf067c115,5,72.58%,5.84%,18.31%,67.75%,8.99%,22.02%,101010,
8707bb06-8a64-444f-892e-dc8534ecdcf9,c785d937-d9a7-42a7-8596-4f41c550d747,2,91.67%,8.33%,0.00%,83.61%,16.39%,0.83%,100100,
5c845cd6-6d75-49cb-bd5b-3a4c38f0347a,8c14df6e-defa-43a0-814d-6c434d4f2f57,2,93.89%,5.28%,0.83%,91.94%,8.06%,0.00%,100010,
e7c25482-b834-4aab-a003-f50e8a142676,5577efd6-f2fe-4d71-88ef-c212713e81e5,3,86.97%,4.04%,6.74%,80.45%,7.19%,8.09%,100100,
65b6023f-6ef3-424c-90ff-a6eaba209e79,3452d36a-8ed4-4253-b9db-d8fbeb74638e,1,76.94%,23.06%,0.00%,91.11%,8.89%,0.00%,101000,
7adb64cf-3c7e-416b-9177-c79c40f44d05,8c14df6e-defa-43a0-814d-6c434d4f2f57,4,67.19%,22.47%,7.87%,66.29%,16.40%,15.51%,100010,
e09576fc-2954-4a8a-bb3b-eef6cfc0cd10,3452d36a-8ed4-4253-b9db-d8fbeb74638e,1,76.39%,23.61%,0.00%,93.61%,5.28%,1.94%,101000,
75e4a7b7-417d-4c47-a390-5765fa342697,5577efd6-f2fe-4d71-88ef-c212713e81e5,4,68.76%,19.55%,11.24%,71.91%,12.81%,13.26%,100100,
67c0e979-818e-4628-a296-4c77f6ce96b0,b27fc5ae-f7bc-4e83-aef2-cb5cf067c115,6,45.84%,20.67%,35.28%,46.74%,26.85%,27.87%,101010,
f36755d9-040a-43d5-91b2-6ea8264a8183,8c14df6e-defa-43a0-814d-6c434d4f2f57,5,78.09%,13.03%,10.56%,71.24%,5.62%,22.36%,100010,
e730f1ca-cd80-4e4a-b353-f25daccdefae,f5901766-c557-4207-87cb-974e588b2351,4,76.18%,20.22%,4.27%,71.46%,16.18%,11.91%,100010,
d142b63d-e9ad-411c-aea4-ff61a9ea99c4,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,4,72.36%,23.37%,2.47%,75.51%,12.58%,8.54%,100010,
8b8acd07-711e-49f7-8be9-89e9a6e18c26,2dbbac82-70a8-45bb-b6c0-44e33450b731,3,86.97%,8.99%,2.70%,89.21%,4.04%,6.52%,101110,
73bf3ed9-ac86-4d5e-87fe-d88dbf705772,3452d36a-8ed4-4253-b9db-d8fbeb74638e,1,90.00%,10.00%,0.00%,90.56%,8.61%,1.67%,100010,
7d147a82-242a-47de-8bf5-28f48348e5fb,03c698cd-88f2-4a36-bd27-4028febf3ac8,1,85.28%,14.72%,0.00%,95.28%,4.72%,0.00%,101110,
fb988dd1-2474-46ae-b5fe-75acfb22f1f0,9573f491-045a-4c1f-ac45-2b8760b873dc,5,68.31%,10.11%,21.01%,71.46%,6.74%,20.34%,100001,
4de9fece-63b9-4468-9be8-f604d1f32f5b,b27fc5ae-f7bc-4e83-aef2-cb5cf067c115,6,60.67%,17.64%,22.02%,55.28%,22.92%,21.01%,101010,
2c0ce506-ad90-40d3-a559-88adb688fe62,2dbbac82-70a8-45bb-b6c0-44e33450b731,3,91.91%,2.92%,2.25%,86.07%,8.54%,5.39%,101110,
4cd7e6ed-762a-47b7-a97f-43b9bfca19ff,8c14df6e-defa-43a0-814d-6c434d4f2f57,6,55.73%,25.62%,19.44%,58.65%,21.80%,20.67%,100010,
f5c9435b-9a78-469d-b44b-1f55a3c36f04,c785d937-d9a7-42a7-8596-4f41c550d747,2,93.61%,5.56%,0.83%,84.17%,15.00%,0.83%,101000,
504a2c53-ca58-420b-a6a4-72eb766714b8,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,4,67.42%,21.80%,7.64%,67.42%,17.53%,12.58%,100010,
d957e82f-d5b1-4ba6-9170-4dcaed97a01c,03c698cd-88f2-4a36-bd27-4028febf3ac8,2,79.72%,19.44%,0.00%,90.83%,8.33%,0.83%,101000,
7ba2ad24-0b9c-421d-8fad-901ef0561359,3452d36a-8ed4-4253-b9db-d8fbeb74638e,1,92.22%,7.78%,0.00%,92.78%,6.11%,3.06%,100010,
364ff6c6-1758-4c83-ae3e-e5355892b6d5,2dbbac82-70a8-45bb-b6c0-44e33450b731,4,68.31%,18.88%,11.24%,72.13%,13.71%,12.81%,101110,
571126fe-cd14-4cd0-b7f2-d487c68f14c7,f4d070b9-80cb-4496-8c05-9a3ac17ce9ae,5,67.30%,11.80%,20.79%,69.21%,8.43%,23.15%,101000,
39be172c-e3b8-43ee-96ff-6ef73e46815e,3452d36a-8ed4-4253-b9db-d8fbeb74638e,1,90.83%,9.17%,0.00%,91.39%,6.94%,1.67%,100100,
99c5d2bb-b0e1-4c7c-bec3-1cef5889365d,c785d937-d9a7-42a7-8596-4f41c550d747,3,82.70%,17.08%,0.67%,80.22%,9.44%,10.79%,101000,
0d2b798d-1248-4f76-aed9-604ec473b7e0,03c698cd-88f2-4a36-bd27-4028febf3ac8,3,78.88%,14.61%,6.52%,86.07%,8.99%,5.17%,100010,
